Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
ARC 380,JALAN BESAR,Office,"2,105,500",721.19,"2,919",Sep-25,Strata,67,"31,425",Freehold,08,06 to 10
PS100,PECK SEAH STREET,Office,"1,080,000",419.8,"2,573",Sep-25,Strata,39,"27,692",99 yrs lease commencing from 2011,02,11 to 15
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,188,000",484.38,"2,453",Sep-25,Strata,45,"26,400",99 yrs lease commencing from 2011,14,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,950,000","1,776.06","2,787",Sep-25,Strata,165,"30,000",999 yrs lease commencing from 1829,06,21 to 25
MILLAGE,CHANGI ROAD,Office,"500,000",172.22,"2,903",Sep-25,Strata,16,"31,250",Freehold,14,01 to 05
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,680,000",355.21,"4,730",Aug-25,Strata,33,"50,909",999 yrs lease commencing from 1871,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"6,000,000","2,680.24","2,239",Aug-25,Strata,249,"24,096",99 yrs lease commencing from 2011,14,11 to 15
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,700,000",936.47,"1,815",Aug-25,Strata,87,"19,540",99 yrs lease commencing from 1970,02,31 to 35
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,"2,168,000","1,733","1,251",Aug-25,Strata,161,"13,466",99 yrs lease commencing from 1972,01,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"780,000",312.16,"2,499",Aug-25,Strata,29,"26,897",999 yrs lease commencing from 1829,06,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"20,500,000","10,774.76","1,903",Aug-25,Strata,"1,001","20,480",99 yrs lease commencing from 2013,22,16 to 20
