Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,"2,060,000",764.24,"2,695",Aug-24,Strata,71,"29,014",Freehold,10,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,888,000","1,119.46","1,687",Jul-24,Strata,104,"18,154",99 yrs lease commencing from 1997,07,06 to 10
TRIO,SAM LEONG ROAD,Office,"758,000",226.04,"3,353",Jul-24,Strata,21,"36,095",Freehold,08,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"525,000",333.68,"1,573",Jul-24,Strata,31,"16,935",99 yrs lease commencing from 1983,01,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,628,000","1,711.48","1,536",Jul-24,Strata,159,"16,528",99 yrs lease commencing from 1980,07,16 to 20
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"455,000",150.7,"3,019",Jul-24,Strata,14,"32,500",999 yrs lease commencing from 1883,21,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"550,000",452.09,"1,217",Jul-24,Strata,42,"13,095",99 yrs lease commencing from 1974,07,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,320,000",764.24,"1,727",Jul-24,Strata,71,"18,592",99 yrs lease commencing from 2013,22,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,174,000",538.2,"2,181",Jul-24,Strata,50,"23,480",99 yrs lease commencing from 2011,14,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"560,000",344.45,"1,626",Jul-24,Strata,32,"17,500",99 yrs lease commencing from 1983,01,06 to 10
PLUS,CECIL STREET,Office,"4,152,900","1,270.15","3,270",Jul-24,Strata,118,"35,194",99 yrs lease commencing from 1989,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,068,000",484.38,"2,205",Jul-24,Strata,45,"23,733",99 yrs lease commencing from 2011,14,06 to 10
EON SHENTON,SHENTON WAY,Office,"4,070,000","1,700.71","2,393",Jul-24,Strata,158,"25,759",99 yrs lease commencing from 2011,02,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"2,350,000","1,001.05","2,348",Jul-24,Strata,93,"25,269",999 yrs lease commencing from 1829,06,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"2,200,000",871.88,"2,523",Jul-24,Strata,81,"27,160",99 yrs lease commencing from 2001,01,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"5,825,000","1,969.81","2,957",Jul-24,Strata,183,"31,831",99 yrs lease commencing from 2011,01,11 to 15
THE MEZZO,BALESTIER ROAD,Office,"1,300,000",753.48,"1,725",Jul-24,Strata,70,"18,571",Freehold,12,01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Office,"55,150,000","13,132.08","4,200",Jul-24,Strata,"1,220","45,205",Freehold,01,11 to 15
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"16,249,199","4,779.22","3,400",Jul-24,Strata,444,"36,597",99 yrs lease commencing from 1989,01,21 to 25
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"760,000",473.62,"1,605",Jul-24,Strata,44,"17,273",Freehold,14,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"900,000",441.32,"2,039",Jul-24,Strata,41,"21,951",Freehold,15,01 to 05
THE PLAZA,BEACH ROAD,Office,"1,180,000",871.88,"1,353",Jul-24,Strata,81,"14,568",99 yrs lease commencing from 1968,07,11 to 15
N.A.,RAFFLES QUAY,Office,"36,000,000","10,128.92","3,554",Jul-24,Strata,941,"38,257",Freehold,01,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"2,640,000",753.48,"3,504",Jul-24,Strata,70,"37,714",99 yrs lease commencing from 2011,01,21 to 25
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"688,000",452.09,"1,522",Jun-24,Strata,42,"16,381",99 yrs lease commencing from 1980,03,01 to 05
THE BENCOOLEN,BENCOOLEN STREET,Office,"1,080,000",753.48,"1,433",Jun-24,Strata,70,"15,429",99 yrs lease commencing from 1995,07,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,613,999",936.47,"1,723",Jun-24,Strata,87,"18,552",99 yrs lease commencing from 1970,02,11 to 15
THE ARIZON,GEYLANG ROAD,Office,"1,100,917","1,151.75",956,Jun-24,Strata,107,"10,289",Freehold,14,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"990,000",699.66,"1,415",Jun-24,Strata,65,"15,231",99 yrs lease commencing from 1974,07,06 to 10
GIFFARD MANSIONS,BALESTIER ROAD,Office,"635,000",355.21,"1,788",Jun-24,Strata,33,"19,242",Freehold,12,01 to 05
OXLEY TOWER,ROBINSON ROAD,Office,"3,700,000","1,205.57","3,069",Jun-24,Strata,112,"33,036",Freehold,01,21 to 25
N.A.,HARBOUR DRIVE,Office,"160,000,000","138,836.22","1,152",Jun-24,Land,"12,898.2","12,405",95 yrs lease commencing from 2000,05,-
EAST VILLAGE,UPPER CHANGI ROAD,Office,"530,000",150.7,"3,517",Jun-24,Strata,14,"37,857",Freehold,16,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,000,000",473.62,"2,111",Jun-24,Strata,44,"22,727",99 yrs lease commencing from 1970,02,21 to 25
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"11,500,000","3,078.5","3,736",Jun-24,Strata,286,"40,210",99 yrs lease commencing from 1989,01,36 to 40
TONG ENG BUILDING,CECIL STREET,Office,"1,250,000",462.85,"2,701",Jun-24,Strata,43,"29,070",999 yrs lease commencing from 1885,01,11 to 15
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,950,000",871.88,"2,237",Jun-24,Strata,81,"24,074",99 yrs lease commencing from 2011,14,11 to 15
PS100,PECK SEAH STREET,Office,"1,290,000",473.62,"2,724",Jun-24,Strata,44,"29,318",99 yrs lease commencing from 2011,02,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"340,000",226.04,"1,504",Jun-24,Strata,21,"16,190",99 yrs lease commencing from 1980,03,B1 to B5
INTERNATIONAL PLAZA,ANSON ROAD,Office,"4,361,000","2,357.32","1,850",Jun-24,Strata,219,"19,913",99 yrs lease commencing from 1970,02,31 to 35
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,752,000","1,140.98","1,536",Jun-24,Strata,106,"16,528",99 yrs lease commencing from 1980,07,16 to 20
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"16,000,000","4,833.04","3,311",Jun-24,Strata,449,"35,635",99 yrs lease commencing from 1989,01,36 to 40
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"920,460",667.37,"1,379",Jun-24,Strata,62,"14,846",99 yrs lease commencing from 1974,07,06 to 10
SOUTHBANK,NORTH BRIDGE ROAD,Office,"868,000",462.85,"1,875",Jun-24,Strata,43,"20,186",99 yrs lease commencing from 2006,07,01 to 05
EON SHENTON,SHENTON WAY,Office,"4,090,000","1,700.71","2,405",Jun-24,Strata,158,"25,886",99 yrs lease commencing from 2011,02,11 to 15
CENTRIUM SQUARE,SERANGOON ROAD,Office,"3,280,000","1,011.82","3,242",Jun-24,Strata,94,"34,894",Freehold,08,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,180,191",548.96,"2,150",Jun-24,Strata,51,"23,141",99 yrs lease commencing from 2014,25,06 to 10
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"15,292,800","4,779.22","3,200",Jun-24,Strata,444,"34,443",99 yrs lease commencing from 1989,01,21 to 25
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"980,000",538.2,"1,821",Jun-24,Strata,50,"19,600",99 yrs lease commencing from 1997,07,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,825,000","2,217.38","1,725",Jun-24,Strata,206,"18,568",99 yrs lease commencing from 1970,02,31 to 35
PLUS,CECIL STREET,Office,"4,152,900","1,270.15","3,270",Jun-24,Strata,118,"35,194",99 yrs lease commencing from 1989,01,16 to 20
PLUS,CECIL STREET,Office,"4,434,120","1,356.26","3,269",Jun-24,Strata,126,"35,191",99 yrs lease commencing from 1989,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,155,500",958,"2,250",May-24,Strata,89,"24,219",99 yrs lease commencing from 2011,14,11 to 15
MAPLETREE ANSON,ANSON ROAD,Office,"775,000,000","39,733.15","19,505",May-24,Land,"3,691.3","209,953",99 yrs lease commencing from 2007,02,-
TELOK BLANGAH HOUSE,TELOK BLANGAH ROAD,Office,"750,000",365.98,"2,049",May-24,Strata,34,"22,059",Freehold,04,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,200,000",796.54,"2,762",May-24,Strata,74,"29,730",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"3,300,000","1,130.22","2,920",May-24,Strata,105,"31,429",99 yrs lease commencing from 1975,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,700,000",979.52,"2,756",May-24,Strata,91,"29,670",99 yrs lease commencing from 2014,25,01 to 05
LE SHANTIER,BALESTIER ROAD,Office,"1,350,000","1,011.82","1,334",May-24,Strata,94,"14,362",Freehold,12,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,190,000",559.73,"2,126",May-24,Strata,52,"22,885",99 yrs lease commencing from 2014,25,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"4,918,014","1,453.14","3,384",May-24,Strata,135,"36,430",99 yrs lease commencing from 2001,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"4,081,985","1,205.57","3,386",May-24,Strata,112,"36,446",99 yrs lease commencing from 2001,01,16 to 20
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"5,300,000","1,388.56","3,817",May-24,Strata,129,"41,085",99 yrs lease commencing from 1989,01,36 to 40
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"900,000",764.24,"1,178",May-24,Strata,71,"12,676",99 yrs lease commencing from 1974,07,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,695,000",721.19,"2,350",May-24,Strata,67,"25,299",99 yrs lease commencing from 2011,14,11 to 15
CONNEXION,FARRER PARK STATION ROAD,Office,"11,625,000","2,325.02","5,000",May-24,Strata,216,"53,819",99 yrs lease commencing from 2007,08,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,215,000",538.2,"2,258",May-24,Strata,50,"24,300",99 yrs lease commencing from 2011,14,01 to 05
TEAMBUILD CENTRE,GEYLANG ROAD,Office,"700,000","1,033.34",677,May-24,Strata,96,"7,292",99 yrs lease commencing from 2001,14,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"740,000",430.56,"1,719",May-24,Strata,40,"18,500",Freehold,14,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"550,000",204.52,"2,689",May-24,Strata,19,"28,947",Freehold,19,01 to 05
WILMER PLACE,ARMENIAN STREET,Office,"26,500,000","7,649.97","3,464",May-24,Land,710.7,"37,287",99 yrs lease commencing from 1947,06,-
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,797,706","1,356.26","2,063",May-24,Strata,126,"22,204",99 yrs lease commencing from 2011,14,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,731,093","1,323.97","2,063",May-24,Strata,123,"22,204",99 yrs lease commencing from 2011,14,06 to 10
NEW WORLD CENTRE,JALAN BERSEH,Office,"11,587,935","9,235.51","1,255",May-24,Strata,858,"13,506",99 yrs lease commencing from 1994,08,01 to 05
NEW WORLD CENTRE,JALAN BERSEH,Office,"1,515,864","1,334.74","1,136",May-24,Strata,124,"12,225",99 yrs lease commencing from 1994,08,01 to 05
NEW WORLD CENTRE,JALAN BERSEH,Office,"7,205,642","5,737.21","1,256",May-24,Strata,533,"13,519",99 yrs lease commencing from 1994,08,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"890,000",462.85,"1,923",May-24,Strata,43,"20,698",99 yrs lease commencing from 1970,02,16 to 20
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,390,000","1,485.43","2,282",May-24,Strata,138,"24,565",999 yrs lease commencing from 1829,06,16 to 20
NEW WORLD CENTRE,JALAN BERSEH,Office,"4,210,732","4,434.77",949,May-24,Strata,412,"10,220",99 yrs lease commencing from 1994,08,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"698,000",430.56,"1,621",Apr-24,Strata,40,"17,450",99 yrs lease commencing from 1983,01,06 to 10
THE ADELPHI,COLEMAN STREET,Office,"1,520,000",505.91,"3,004",Apr-24,Strata,47,"32,340",999 yrs lease commencing from 1828,06,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,440,000","1,668.42","1,462",Apr-24,Strata,155,"15,742",99 yrs lease commencing from 1980,07,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"600,000",333.68,"1,798",Apr-24,Strata,31,"19,355",99 yrs lease commencing from 1980,03,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"825,000",322.92,"2,555",Apr-24,Strata,30,"27,500",999 yrs lease commencing from 1827,06,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"380,000",161.46,"2,354",Apr-24,Strata,15,"25,333",99 yrs lease commencing from 1970,02,31 to 35
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,003,000","1,313.21","1,525",Apr-24,Strata,122,"16,418",99 yrs lease commencing from 1980,07,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"1,760,000",645.84,"2,725",Apr-24,Strata,60,"29,333",99 yrs lease commencing from 2001,01,11 to 15
PS100,PECK SEAH STREET,Office,"1,268,000",441.32,"2,873",Apr-24,Strata,41,"30,927",99 yrs lease commencing from 2011,02,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,564,212",753.48,"2,076",Apr-24,Strata,70,"22,346",99 yrs lease commencing from 2014,25,01 to 05
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"690,000",301.39,"2,289",Apr-24,Strata,28,"24,643",Freehold,08,01 to 05
HEXACUBE,CHANGI ROAD,Office,"800,000",452.09,"1,770",Apr-24,Strata,42,"19,048",Freehold,14,01 to 05
WIS@CHANGI,CHANGI ROAD,Office,"620,000",484.38,"1,280",Apr-24,Strata,45,"13,778",Freehold,14,01 to 05
THE PLAZA,BEACH ROAD,Office,"800,000",333.68,"2,397",Apr-24,Strata,31,"25,806",99 yrs lease commencing from 1968,07,B1 to B5
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,000,000",570.49,"1,753",Apr-24,Strata,53,"18,868",99 yrs lease commencing from 2014,25,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,390,000",635.08,"2,189",Apr-24,Strata,59,"23,559",99 yrs lease commencing from 2001,01,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"880,000",441.32,"1,994",Apr-24,Strata,41,"21,463",99 yrs lease commencing from 2013,22,06 to 10
N.A.,ARMENIAN STREET,Office,"2,770,000","1,151.75","2,405",Apr-24,Strata,107,"25,888",99 yrs lease commencing from 2007,06,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000",538.2,"2,323",Apr-24,Strata,50,"25,000",99 yrs lease commencing from 2011,14,06 to 10
TAHIR BUILDING,ROBINSON ROAD,Office,"4,523,500","1,140.98","3,965",Apr-24,Strata,106,"42,675",Freehold,01,06 to 10
THE OCTAGON,CECIL STREET,Office,"3,950,000","1,302.44","3,033",Apr-24,Strata,121,"32,645",Freehold,01,01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,369,700","1,280.92","4,192",Apr-24,Strata,119,"45,124",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,780,800","1,377.79","4,196",Apr-24,Strata,128,"45,163",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"7,396,100","1,754.53","4,215",Apr-24,Strata,163,"45,375",Freehold,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,268,000",548.96,"2,310",Apr-24,Strata,51,"24,863",99 yrs lease commencing from 2011,14,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"10,281,750","2,529.54","4,065",Apr-24,Strata,235,"43,752",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"8,066,800","1,980.58","4,073",Apr-24,Strata,184,"43,841",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,519,100","1,108.69","4,076",Apr-24,Strata,103,"43,875",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,187,900","1,270.15","4,084",Apr-24,Strata,118,"43,965",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,878,300","1,162.51","4,196",Apr-24,Strata,108,"45,169",Freehold,01,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,211,000",559.73,"2,164",Apr-24,Strata,52,"23,288",99 yrs lease commencing from 2014,25,06 to 10
EVERSHINE AND CENTURY COMPLEX,BEACH ROAD,Office,"4,900,000","2,529.54","1,937",Apr-24,Strata,235,"20,851",999 yrs lease commencing from 1827,07,-
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,468,800",721.19,"2,037",Apr-24,Strata,67,"21,922",99 yrs lease commencing from 1980,01,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"2,338,000",667.37,"3,503",Mar-24,Strata,62,"37,710",99 yrs lease commencing from 2011,01,26 to 30
THE CENTRAL,EU TONG SEN STREET,Office,"2,800,000",925.7,"3,025",Mar-24,Strata,86,"32,558",99 yrs lease commencing from 2001,01,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"768,158",409.03,"1,878",Mar-24,Strata,38,"20,215",Freehold,15,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,600,000",602.78,"2,654",Mar-24,Strata,56,"28,571",99 yrs lease commencing from 2001,01,06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,200,000","2,400.37","1,750",Mar-24,Strata,223,"18,834",99 yrs lease commencing from 1980,01,21 to 25
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,080,000",484.38,"2,230",Mar-24,Strata,45,"24,000",99 yrs lease commencing from 2011,14,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,750,000",925.7,"2,971",Mar-24,Strata,86,"31,977",99 yrs lease commencing from 2001,01,16 to 20
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,888,000","1,054.87","1,790",Mar-24,Strata,98,"19,265",99 yrs lease commencing from 1980,01,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,460,000",635.08,"2,299",Mar-24,Strata,59,"24,746",99 yrs lease commencing from 2001,01,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,680,000",635.08,"2,645",Mar-24,Strata,59,"28,475",99 yrs lease commencing from 2001,01,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,770,000",936.47,"1,890",Mar-24,Strata,87,"20,345",99 yrs lease commencing from 1970,02,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"2,748,368",925.7,"2,969",Mar-24,Strata,86,"31,958",99 yrs lease commencing from 2001,01,11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"8,088,888","2,195.86","3,684",Mar-24,Strata,204,"39,651",99 yrs lease commencing from 1989,01,36 to 40
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,325,497",559.73,"2,368",Mar-24,Strata,52,"25,490",99 yrs lease commencing from 2014,25,11 to 15
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"828,000",182.99,"4,525",Mar-24,Strata,17,"48,706",999 yrs lease commencing from 1883,21,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,257,777",613.55,"2,050",Mar-24,Strata,57,"22,066",999 yrs lease commencing from 1829,06,06 to 10
STUDIO8,JALAN AYER,Office,"1,000,000",430.56,"2,323",Mar-24,Strata,40,"25,000",Freehold,14,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,649,000",635.08,"2,597",Mar-24,Strata,59,"27,949",99 yrs lease commencing from 2001,01,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,441,111",645.84,"2,231",Mar-24,Strata,60,"24,019",99 yrs lease commencing from 2014,25,06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"750,000",516.67,"1,452",Mar-24,Strata,48,"15,625",Freehold,15,01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"1,538,888",839.59,"1,833",Mar-24,Strata,78,"19,729",Freehold,15,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"699,700",699.66,"1,000",Mar-24,Strata,65,"10,765",99 yrs lease commencing from 1969,06,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,899,880","1,883.7","2,070",Feb-24,Strata,175,"22,285",99 yrs lease commencing from 1970,02,26 to 30
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,560,490",753.48,"2,071",Feb-24,Strata,70,"22,293",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,485,418",656.6,"2,262",Feb-24,Strata,61,"24,351",99 yrs lease commencing from 2014,25,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,040,600",484.38,"2,148",Feb-24,Strata,45,"23,124",99 yrs lease commencing from 2011,14,06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"775,000",473.62,"1,636",Feb-24,Strata,44,"17,614",Freehold,14,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,314,000",656.6,"2,001",Feb-24,Strata,61,"21,541",999 yrs lease commencing from 1829,06,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"950,000",495.14,"1,919",Feb-24,Strata,46,"20,652",99 yrs lease commencing from 1997,07,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"695,000",290.63,"2,391",Feb-24,Strata,27,"25,741",99 yrs lease commencing from 1970,01,B1 to B5
VISION EXCHANGE,VENTURE DRIVE,Office,"25,656,000","10,774.76","2,381",Feb-24,Strata,"1,001","25,630",99 yrs lease commencing from 2013,22,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"33,322,000","14,014.73","2,378",Feb-24,Strata,"1,302","25,593",99 yrs lease commencing from 2013,22,21 to 25
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"820,000",613.55,"1,336",Feb-24,Strata,57,"14,386",Freehold,19,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"600,000",441.32,"1,360",Feb-24,Strata,41,"14,634",Freehold,15,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"290,000",86.11,"3,368",Feb-24,Strata,8,"36,250",999 yrs lease commencing from 1827,06,01 to 05
ORCHARD PLAZA,ORCHARD ROAD,Office,"740,000",452.09,"1,637",Feb-24,Strata,42,"17,619",99 yrs lease commencing from 1977,09,06 to 10
OXLEY TOWER,ROBINSON ROAD,Office,"3,300,000",979.52,"3,369",Feb-24,Strata,91,"36,264",Freehold,01,11 to 15
111 SOMERSET,SOMERSET ROAD,Office,"2,300,000",775.01,"2,968",Feb-24,Strata,72,"31,944",99 yrs lease commencing from 1975,09,11 to 15
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"372,800",279.86,"1,332",Feb-24,Strata,26,"14,338",99 yrs lease commencing from 1974,07,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"3,372,075","6,296.94",536,Feb-24,Strata,585,"5,764",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"3,680,967","6,684.44",551,Feb-24,Strata,621,"5,927",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"3,946,958","7,018.13",562,Feb-24,Strata,652,"6,054",99 yrs lease commencing from 1969,03,01 to 05
15 SCOTTS,SCOTTS ROAD,Office,"3,118,800",678.13,"4,599",Feb-24,Strata,63,"49,505",Freehold,09,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,499,000",645.84,"2,321",Feb-24,Strata,60,"24,983",99 yrs lease commencing from 2001,01,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"1,500,000",322.92,"4,645",Feb-24,Strata,30,"50,000",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,818,188",979.52,"1,856",Feb-24,Strata,91,"19,980",99 yrs lease commencing from 1970,02,26 to 30
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,188,000",559.73,"2,122",Feb-24,Strata,52,"22,846",99 yrs lease commencing from 2014,25,06 to 10
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,425,000",452.09,"3,152",Jan-24,Strata,42,"33,929",99 yrs lease commencing from 1970,01,B1 to B5
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"968,000",581.26,"1,665",Jan-24,Strata,54,"17,926",99 yrs lease commencing from 1996,07,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"880,000",333.68,"2,637",Jan-24,Strata,31,"28,387",999 yrs lease commencing from 1829,06,01 to 05
SBF CENTER,ROBINSON ROAD,Office,"2,080,000",667.37,"3,117",Jan-24,Strata,62,"33,548",99 yrs lease commencing from 2011,01,21 to 25
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"650,000",527.44,"1,232",Jan-24,Strata,49,"13,265",99 yrs lease commencing from 1969,03,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,700,400",871.88,"1,950",Jan-24,Strata,81,"20,993",999 yrs lease commencing from 1829,06,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,339,100",678.13,"3,449",Jan-24,Strata,63,"37,129",99 yrs lease commencing from 2011,01,21 to 25
